Region,Town,State,Business,Vertical,Need,Confidence,Website score,IT score,Evidence,Phone,Website,Address,Google Maps,Source,Status/Notes
Upstate/N SC,Greenville,SC,Joint Pain Relief Center,healthcare,Both,High,6,5,Website is down/unreachable (ENOTFOUND); Business email is jointpainreliefctrs@gmail.com,+1-864-538-0090,https://jointpainreliefcenter.com/,3 Webb Road,https://www.google.com/maps/search/?api=1&query=Joint%20Pain%20Relief%20Center%20Greenville%20SC,OSM,
SE Kentucky,Corbin,KY,Revolution Realty,realestate,Both,High,6,5,Website is down/unreachable (ERR_SSL_TLSV1_ALERT_INTERNAL_ERROR); Business email is Kcfrench23@gmail.com,+1-606-620-6712,https://www.rev-realty.com/,900 South Kentucky Avenue,https://www.google.com/maps/search/?api=1&query=Revolution%20Realty%20Corbin%20KY,OSM,
NE Tennessee,Jonesborough,TN,Blue Ridge Animal Hospital,veterinary,Both,High,5,5,SSL certificate broken/expired; GoDaddy site builder; Business email is blueridgeanimalhospitaltn@gmail.com,+1-423-753-7387,http://www.blueridgeanimalhospitaltn.com/,3741 West Market Street,https://www.google.com/maps/search/?api=1&query=Blue%20Ridge%20Animal%20Hospital%20Jonesborough%20TN,OSM,
NE Tennessee,Johnson City,TN,Moto Japanese Restaurant,food,Both,High,5,5,SSL certificate broken/expired; WordPress 4.1 (outdated); Outdated server stack: Apache PHP/5.4.45; Business email is motojohnsoncity@gmail.com,+1-423-282-6686,http://www.motojc.com/,2607 North Roan Street,https://www.google.com/maps/search/?api=1&query=Moto%20Japanese%20Restaurant%20Johnson%20City%20TN,OSM,
SE Kentucky,Hazard,KY,Blue Ridge Insurance Group,finance,Both,High,6,4,SSL certificate broken/expired; Copyright stuck at 2012; GoDaddy site builder,+1 606-312-7805,http://www.blueridgeinsurance.org/,,https://www.google.com/maps/search/?api=1&query=Blue%20Ridge%20Insurance%20Group%20Hazard%20KY,OSM,
Western NC,Asheville,NC,Standard Pizza Co.,food,Both,High,5,5,SSL certificate broken/expired; Uses free email for business (standardpizzaco@gmail.com); Outdated server stack: Apache PHP/5.6.40; Business email is standardpizzaco@gmail.com,+1-828-255-8122,http://www.standardpizzacoasheville.com/,631 Haywood Road,https://www.google.com/maps/search/?api=1&query=Standard%20Pizza%20Co.%20Asheville%20NC,OSM,
Western NC,Morganton,NC,Healthy Petz Veterinary Clinic,veterinary,Both,High,5,5,No HTTPS (insecure site); Copyright stuck at 2020; Business email is healthypetz109@gmail.com,+1-828-437-4524,http://myhealthypetz.com/,109 Enola Road,https://www.google.com/maps/search/?api=1&query=Healthy%20Petz%20Veterinary%20Clinic%20Morganton%20NC,OSM,
NE Tennessee,Johnson City,TN,Karing Hearts Cardiology,healthcare,Both,High,5,4,Website is down/unreachable,+1-423-926-4468,https://karingheartscardiology.com/,701 North State of Franklin Road,https://www.google.com/maps/search/?api=1&query=Karing%20Hearts%20Cardiology%20Johnson%20City%20TN,OSM,
NE Tennessee,Johnson City,TN,Dr. Katherine Barteck,healthcare,Both,High,5,4,Website is down/unreachable,+1-423-449-9146,https://drbarteck.com/,508 East Unaka Avenue,https://www.google.com/maps/search/?api=1&query=Dr.%20Katherine%20Barteck%20Johnson%20City%20TN,OSM,
NE Tennessee,Johnson City,TN,Eastman Credit Union,finance,Both,High,5,4,Website is down/unreachable,+1-423-722-1200,https://www.ecu.org/locations/state-of-franklin-branch,255 Marketplace Boulevard,https://www.google.com/maps/search/?api=1&query=Eastman%20Credit%20Union%20Johnson%20City%20TN,OSM,
